id,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3
1,180,2011,Randall Musuem,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
2,180,2011,555 Market St.,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
3,180,2011,Mason & California Streets (Nob Hill),,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
4,180,2011,Justin Herman Plaza,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
5,180,2011,200 block Market Street,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
6,180,2011,Epic Roasthouse (399 Embarcadero),,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
7,180,2011,City Hall,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
8,180,2011,Polk & Larkin Streets,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
9,24 Hours on Craigslist,2005,,,Yerba Buena Productions,Zealot Pictures,Michael Ferris Gibson,N/A,Craig Newmark,,
10,48 Hours,1982,,,Paramount Pictures,Paramount Pictures,Walter Hill,Walter Hill,Nick Nolte,Eddie Murphy,
11,50 First Dates,2004,Rainforest Caf̩ (145 Jefferson Street),,Columbia Pictures Corporation,Columbia Pictures,Peter Segal,George Wing,Adam Sandler,Drew Barrymore,Rob Schneider
12,About a Boy,2014,Crissy Field,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,
13,About a Boy,2014,Powell from Bush and Sutter,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,
14,About a Boy,2014,Broderick from Fulton to McAlister,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,
15,After the Thin Man,1936,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Frances Goodrich,William Powell,Myrna Loy,James Stewart
16,A Jitney Elopement,1915,20th and Folsom Streets,,The Essanay Film Manufacturing Company,General Film Company,Charles Chaplin,Charles Chaplin,Charles Chaplin,,
17,A Jitney Elopement,1915,Golden Gate Park,"During San Francisco's Gold Rush era, the Park was part of an area designated as the ""Great Sand Waste"". ",The Essanay Film Manufacturing Company,General Film Company,Charles Chaplin,Charles Chaplin,Charles Chaplin,,
18,Alcatraz,2012,Filbert St. from Jones to Mason,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Elizabeth Sarnoff,Bryan Wynbrandt
19,Alcatraz,2012,Leavenworth from Filbert & Francisco St,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Elizabeth Sarnoff,Bryan Wynbrandt
20,Alcatraz,2012,Chestnut St. from Larkin to Columbus,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Elizabeth Sarnoff,Bryan Wynbrandt
